Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.3908,0.0235,0.9500
0.4215,0.0339,0.9000
0.4866,0.0366,0.8500
0.5287,0.0444,0.8000
0.5632,0.0496,0.7500
0.5900,0.0522,0.7000
0.6169,0.0522,0.6500
0.6322,0.0574,0.6000
0.6590,0.0601,0.5500
0.9119,0.1958,0.5000
0.9272,0.2193,0.4500
0.9272,0.2376,0.4000
0.9272,0.2637,0.3500
0.9425,0.2977,0.3000
0.9502,0.3342,0.2500
0.9540,0.3708,0.2000
0.9770,0.4360,0.1500
0.9847,0.5431,0.1000
0.9923,0.6554,0.0500
Best %,Threshold
84.7826,0.5000
TP,FP,FN,TN
238,75,23,308
