Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.4370,0.0345,0.9500
0.5210,0.0394,0.9000
0.5798,0.0394,0.8500
0.6218,0.0468,0.8000
0.6429,0.0542,0.7500
0.6765,0.0567,0.7000
0.7059,0.0616,0.6500
0.7311,0.0640,0.6000
0.7605,0.0764,0.5500
0.9328,0.1379,0.5000
0.9328,0.1453,0.4500
0.9370,0.1552,0.4000
0.9412,0.1675,0.3500
0.9454,0.1773,0.3000
0.9622,0.1897,0.2500
0.9622,0.2094,0.2000
0.9664,0.2463,0.1500
0.9706,0.3153,0.1000
0.9748,0.3892,0.0500
Best %,Threshold
88.8199,0.5000
TP,FP,FN,TN
222,56,16,350
