Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6448,0.0571,0.9500
0.6950,0.0623,0.9000
0.7181,0.0727,0.8500
0.7413,0.0831,0.8000
0.7645,0.0883,0.7500
0.7761,0.0987,0.7000
0.7799,0.1039,0.6500
0.7954,0.1065,0.6000
0.8108,0.1143,0.5500
0.8263,0.1221,0.5000
0.8340,0.1247,0.4500
0.8417,0.1351,0.4000
0.8533,0.1403,0.3500
0.8610,0.1558,0.3000
0.8726,0.1714,0.2500
0.8803,0.1870,0.2000
0.8996,0.2052,0.1500
0.9112,0.2442,0.1000
0.9266,0.3039,0.0500
Best %,Threshold
85.8696,0.4500
TP,FP,FN,TN
216,48,43,337
