Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.5826,0.0299,0.9500
0.6570,0.0398,0.9000
0.6942,0.0423,0.8500
0.7438,0.0448,0.8000
0.7851,0.0448,0.7500
0.8058,0.0473,0.7000
0.8264,0.0498,0.6500
0.8471,0.0522,0.6000
0.8554,0.0572,0.5500
0.9339,0.2438,0.5000
0.9380,0.3284,0.4500
0.9421,0.3532,0.4000
0.9463,0.3731,0.3500
0.9545,0.4104,0.3000
0.9587,0.4428,0.2500
0.9669,0.4826,0.2000
0.9793,0.5149,0.1500
0.9793,0.5721,0.1000
0.9835,0.6393,0.0500
Best %,Threshold
90.9938,0.6000
TP,FP,FN,TN
205,21,37,381
