Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.4426,0.0220,0.9500
0.5277,0.0318,0.9000
0.6128,0.0367,0.8500
0.6468,0.0440,0.8000
0.6596,0.0513,0.7500
0.6809,0.0562,0.7000
0.7106,0.0587,0.6500
0.7277,0.0611,0.6000
0.7319,0.0611,0.5500
0.8766,0.2323,0.5000
0.8851,0.2396,0.4500
0.8979,0.2665,0.4000
0.9021,0.2861,0.3500
0.9021,0.3032,0.3000
0.9106,0.3227,0.2500
0.9106,0.3545,0.2000
0.9191,0.3888,0.1500
0.9234,0.4205,0.1000
0.9404,0.5330,0.0500
Best %,Threshold
86.3354,0.5500
TP,FP,FN,TN
172,25,63,384
