Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.4729,0.0285,0.9500
0.5388,0.0363,0.9000
0.6279,0.0415,0.8500
0.6783,0.0440,0.8000
0.7054,0.0466,0.7500
0.7287,0.0492,0.7000
0.8450,0.0984,0.6500
0.8605,0.1140,0.6000
0.8643,0.1218,0.5500
0.8682,0.1295,0.5000
0.8682,0.1399,0.4500
0.8837,0.1503,0.4000
0.8953,0.1684,0.3500
0.9729,0.4404,0.3000
0.9767,0.4585,0.2500
0.9767,0.5078,0.2000
0.9884,0.5363,0.1500
0.9884,0.5803,0.1000
0.9922,0.6554,0.0500
Best %,Threshold
87.8882,0.6500
TP,FP,FN,TN
218,38,40,348
