Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.4360,0.0076,0.9500
0.5080,0.0102,0.9000
0.5360,0.0127,0.8500
0.5520,0.0178,0.8000
0.5920,0.0203,0.7500
0.6200,0.0254,0.7000
0.6440,0.0254,0.6500
0.6520,0.0305,0.6000
0.6760,0.0355,0.5500
0.9080,0.2107,0.5000
0.9120,0.2259,0.4500
0.9280,0.2360,0.4000
0.9360,0.2462,0.3500
0.9440,0.2741,0.3000
0.9480,0.3122,0.2500
0.9600,0.3503,0.2000
0.9680,0.3858,0.1500
0.9760,0.4492,0.1000
0.9800,0.5508,0.0500
Best %,Threshold
85.2484,0.5500
TP,FP,FN,TN
169,14,81,380
