Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6213,0.0465,0.9500
0.6809,0.0611,0.9000
0.7234,0.0831,0.8500
0.7532,0.0978,0.8000
0.7915,0.1100,0.7500
0.8128,0.1125,0.7000
0.8638,0.1198,0.6500
0.8766,0.1271,0.6000
0.8851,0.1491,0.5500
0.8936,0.1638,0.5000
0.8936,0.2029,0.4500
0.9021,0.2641,0.4000
0.9277,0.2958,0.3500
0.9404,0.3276,0.3000
0.9532,0.3447,0.2500
0.9617,0.3814,0.2000
0.9617,0.4303,0.1500
0.9745,0.4890,0.1000
0.9830,0.5721,0.0500
Best %,Threshold
87.4224,0.6500
TP,FP,FN,TN
203,49,32,360
