Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.5141,0.0278,0.9500
0.5863,0.0329,0.9000
0.6345,0.0380,0.8500
0.6908,0.0380,0.8000
0.7189,0.0380,0.7500
0.7349,0.0430,0.7000
0.7550,0.0557,0.6500
0.7590,0.0582,0.6000
0.7671,0.0633,0.5500
0.8795,0.1772,0.5000
0.8876,0.1873,0.4500
0.9116,0.1899,0.4000
0.9237,0.1949,0.3500
0.9398,0.2177,0.3000
0.9438,0.2430,0.2500
0.9478,0.2734,0.2000
0.9598,0.3165,0.1500
0.9759,0.3620,0.1000
0.9799,0.4709,0.0500
Best %,Threshold
87.1118,0.7000
TP,FP,FN,TN
183,17,66,378
