Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0466,0.0000,0.8500
0.1102,0.0000,0.8000
0.2881,0.0074,0.7500
0.3814,0.0196,0.7000
0.4492,0.0196,0.6500
0.6780,0.0466,0.6000
0.7585,0.0662,0.5500
0.8729,0.1912,0.5000
0.9068,0.2696,0.4500
0.9492,0.4142,0.4000
0.9873,0.7426,0.3500
1.0000,0.8750,0.3000
1.0000,0.9804,0.2500
1.0000,0.9926,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
86.9565,0.5500
TP,FP,FN,TN
179,27,57,381
