Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0037,0.0000,0.9500
0.0294,0.0000,0.9000
0.0919,0.0000,0.8500
0.1140,0.0027,0.8000
0.1507,0.0027,0.7500
0.2316,0.0027,0.7000
0.4522,0.0161,0.6500
0.5625,0.0215,0.6000
0.6875,0.0376,0.5500
0.7500,0.0591,0.5000
0.8419,0.1344,0.4500
0.8934,0.2634,0.4000
0.9338,0.4355,0.3500
0.9890,0.8495,0.3000
0.9926,0.9355,0.2500
1.0000,0.9677,0.2000
1.0000,0.9731,0.1500
1.0000,0.9973,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
86.0248,0.5000
TP,FP,FN,TN
204,22,68,350
