Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0048,0.9000
0.0000,0.0048,0.8500
0.0000,0.0096,0.8000
0.0044,0.0168,0.7500
0.0044,0.0288,0.7000
0.0351,0.1322,0.6500
0.0614,0.1803,0.6000
0.1096,0.2476,0.5500
0.2281,0.3798,0.5000
0.4254,0.6226,0.4500
0.6842,0.7813,0.4000
0.8553,0.8726,0.3500
0.9956,0.9856,0.3000
0.9956,0.9952,0.2500
1.0000,0.9952,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
64.5963,1.0000
TP,FP,FN,TN
0,0,228,416
