Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0040,0.0000,0.9500
0.0243,0.0000,0.9000
0.0931,0.0000,0.8500
0.1417,0.0000,0.8000
0.1984,0.0050,0.7500
0.2753,0.0101,0.7000
0.3765,0.0176,0.6500
0.5223,0.0252,0.6000
0.6194,0.0453,0.5500
0.9271,0.2494,0.5000
0.9514,0.4131,0.4500
0.9838,0.6071,0.4000
0.9879,0.7859,0.3500
0.9960,0.8791,0.3000
0.9960,0.9244,0.2500
0.9960,0.9597,0.2000
0.9960,0.9798,0.1500
0.9960,0.9849,0.1000
1.0000,0.9950,0.0500
Best %,Threshold
82.6087,0.5500
TP,FP,FN,TN
153,18,94,379
