Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0078,0.0000,0.9500
0.0311,0.0000,0.9000
0.1012,0.0026,0.8500
0.1673,0.0026,0.8000
0.2257,0.0052,0.7500
0.3152,0.0052,0.7000
0.3852,0.0078,0.6500
0.5019,0.0129,0.6000
0.5992,0.0233,0.5500
0.8988,0.1344,0.5000
0.9377,0.2222,0.4500
0.9455,0.3488,0.4000
0.9805,0.5039,0.3500
0.9961,0.6925,0.3000
0.9961,0.8346,0.2500
0.9961,0.9147,0.2000
0.9961,0.9587,0.1500
1.0000,0.9922,0.1000
1.0000,0.9948,0.0500
Best %,Threshold
87.8882,0.5000
TP,FP,FN,TN
231,52,26,335
