Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0972,0.0025,0.8000
0.1943,0.0076,0.7500
0.2794,0.0126,0.7000
0.3684,0.0227,0.6500
0.6640,0.0504,0.6000
0.7692,0.0705,0.5500
0.8421,0.0932,0.5000
0.9231,0.1385,0.4500
0.9555,0.4156,0.4000
0.9717,0.6524,0.3500
0.9919,0.8514,0.3000
0.9919,0.9395,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
88.5093,0.4500
TP,FP,FN,TN
228,55,19,342
