Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0082,0.0025,0.9500
0.0328,0.0050,0.9000
0.0861,0.0075,0.8500
0.1148,0.0100,0.8000
0.1434,0.0125,0.7500
0.1844,0.0225,0.7000
0.2213,0.0325,0.6500
0.2787,0.0500,0.6000
0.3197,0.0800,0.5500
0.9672,0.7225,0.5000
0.9836,0.7300,0.4500
0.9877,0.7800,0.4000
0.9959,0.8125,0.3500
0.9959,0.8500,0.3000
1.0000,0.8975,0.2500
1.0000,0.9175,0.2000
1.0000,0.9400,0.1500
1.0000,0.9625,0.1000
1.0000,0.9750,0.0500
Best %,Threshold
69.5652,0.6000
TP,FP,FN,TN
68,20,176,380
