Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.3333,0.0104,0.9500
0.3946,0.0157,0.9000
0.4598,0.0183,0.8500
0.4789,0.0183,0.8000
0.5019,0.0209,0.7500
0.5364,0.0209,0.7000
0.5709,0.0235,0.6500
0.6015,0.0261,0.6000
0.6207,0.0287,0.5500
0.8391,0.0966,0.5000
0.8506,0.1097,0.4500
0.8697,0.1175,0.4000
0.8736,0.1358,0.3500
0.8889,0.1384,0.3000
0.9004,0.1671,0.2500
0.9080,0.1984,0.2000
0.9157,0.2480,0.1500
0.9310,0.3185,0.1000
0.9502,0.4151,0.0500
Best %,Threshold
87.7329,0.5000
TP,FP,FN,TN
219,37,42,346
