Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.1235,0.0076,0.9500
0.1394,0.0076,0.9000
0.1394,0.0076,0.8500
0.3825,0.0305,0.8000
0.3984,0.0305,0.7500
0.4104,0.0305,0.7000
0.4183,0.0305,0.6500
0.6574,0.1349,0.6000
0.6614,0.1349,0.5500
0.6693,0.1349,0.5000
0.6733,0.1374,0.4500
0.8805,0.5776,0.4000
0.8805,0.5776,0.3500
0.8805,0.5802,0.3000
0.8924,0.5903,0.2500
0.9880,0.9364,0.2000
0.9880,0.9389,0.1500
0.9880,0.9415,0.1000
0.9880,0.9415,0.0500
Best %,Threshold
78.8820,0.5000
TP,FP,FN,TN
168,53,83,340
