Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.1429,0.0119,0.9500
0.1741,0.0214,0.9000
0.1875,0.0381,0.8500
0.2009,0.0524,0.8000
0.5759,0.2381,0.7500
0.5804,0.2762,0.7000
0.5938,0.2905,0.6500
0.5938,0.3048,0.6000
0.5938,0.3071,0.5500
0.9063,0.6524,0.5000
0.9107,0.6595,0.4500
0.9107,0.6714,0.4000
0.9152,0.6786,0.3500
0.9152,0.6881,0.3000
0.9955,0.9190,0.2500
0.9955,0.9214,0.2000
0.9955,0.9286,0.1500
0.9955,0.9286,0.1000
0.9955,0.9357,0.0500
Best %,Threshold
69.8758,0.9000
TP,FP,FN,TN
39,9,185,411
