Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.1333,0.0129,0.9500
0.1556,0.0129,0.9000
0.1926,0.0172,0.8500
0.1926,0.0258,0.8000
0.2296,0.0300,0.7500
0.2519,0.0343,0.7000
0.2593,0.0343,0.6500
0.2667,0.0429,0.6000
0.2963,0.0472,0.5500
0.3259,0.0515,0.5000
0.3556,0.0558,0.4500
0.3852,0.0601,0.4000
0.4074,0.0858,0.3500
0.4370,0.1116,0.3000
0.4815,0.1288,0.2500
0.5333,0.1803,0.2000
0.6148,0.2232,0.1500
0.7630,0.3176,0.1000
0.9037,0.4979,0.0500
Best %,Threshold
73.6413,0.4000
TP,FP,FN,TN
52,14,83,219
