Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0068,0.0000,0.7000
0.0068,0.0000,0.6500
0.0068,0.0000,0.6000
0.0274,0.0000,0.5500
0.1986,0.0045,0.5000
0.4384,0.0225,0.4500
0.7397,0.0541,0.4000
0.8973,0.3378,0.3500
1.0000,0.8333,0.3000
1.0000,0.9640,0.2500
1.0000,0.9910,0.2000
1.0000,0.9955,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
86.4130,0.4000
TP,FP,FN,TN
108,12,38,210
