Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6143,0.0395,0.9500
0.6643,0.0395,0.9000
0.7000,0.0482,0.8500
0.7286,0.0482,0.8000
0.7643,0.0526,0.7500
0.7786,0.0614,0.7000
0.8071,0.0658,0.6500
0.8214,0.0702,0.6000
0.8429,0.0746,0.5500
0.8429,0.0965,0.5000
0.8500,0.1096,0.4500
0.8571,0.1184,0.4000
0.8714,0.1272,0.3500
0.8857,0.1623,0.3000
0.8929,0.1798,0.2500
0.9000,0.2368,0.2000
0.9214,0.2675,0.1500
0.9571,0.3114,0.1000
0.9786,0.4430,0.0500
Best %,Threshold
89.4022,0.5500
TP,FP,FN,TN
118,17,22,211
