Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.4569,0.5579,0.9500
0.4759,0.5810,0.9000
0.4886,0.5920,0.8500
0.4949,0.6037,0.8000
0.5000,0.6110,0.7500
0.5063,0.6203,0.7000
0.5127,0.6264,0.6500
0.5178,0.6337,0.6000
0.5241,0.6430,0.5500
0.5279,0.6499,0.5000
0.5368,0.6564,0.4500
0.5406,0.6600,0.4000
0.5470,0.6661,0.3500
0.5596,0.6750,0.3000
0.5673,0.6779,0.2500
0.5711,0.6856,0.2000
0.5838,0.6945,0.1500
0.5952,0.7103,0.1000
0.6168,0.7281,0.0500
Best %,Threshold
75.7985,1.0000
TP,FP,FN,TN
0,0,788,2468
