Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0201,0.0000,0.9000
0.0540,0.0004,0.8500
0.1079,0.0020,0.8000
0.1794,0.0069,0.7500
0.2422,0.0130,0.7000
0.3061,0.0159,0.6500
0.3563,0.0252,0.6000
0.4053,0.0325,0.5500
0.5621,0.0797,0.5000
0.6211,0.1009,0.4500
0.6713,0.1236,0.4000
0.7302,0.1574,0.3500
0.8005,0.2098,0.3000
0.8519,0.2611,0.2500
0.8908,0.3115,0.2000
0.9310,0.3754,0.1500
0.9598,0.4392,0.1000
0.9875,0.5734,0.0500
Best %,Threshold
83.2617,0.5000
TP,FP,FN,TN
448,196,349,2263
