Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0138,0.0045,0.8500
0.0207,0.0045,0.8000
0.0483,0.0045,0.7500
0.1103,0.0090,0.7000
0.1655,0.0179,0.6500
0.3241,0.0224,0.6000
0.4690,0.0314,0.5500
0.9586,0.4484,0.5000
0.9655,0.5695,0.4500
0.9724,0.6413,0.4000
0.9931,0.7848,0.3500
0.9931,0.8430,0.3000
1.0000,0.8924,0.2500
1.0000,0.9372,0.2000
1.0000,0.9596,0.1500
1.0000,0.9821,0.1000
1.0000,0.9910,0.0500
Best %,Threshold
77.1739,0.5500
TP,FP,FN,TN
68,7,77,216
