Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0580,0.0174,0.7500
0.1159,0.0304,0.7000
0.2174,0.0391,0.6500
0.7971,0.2391,0.6000
0.8841,0.3783,0.5500
0.9928,0.8435,0.5000
1.0000,0.9348,0.4500
1.0000,0.9478,0.4000
1.0000,0.9826,0.3500
1.0000,0.9913,0.3000
1.0000,1.0000,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
77.4457,0.6000
TP,FP,FN,TN
110,55,28,175
