Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.3281,0.0052,0.9500
0.3750,0.0129,0.9000
0.3945,0.0129,0.8500
0.6563,0.0361,0.8000
0.6953,0.0361,0.7500
0.7227,0.0464,0.7000
0.7617,0.0515,0.6500
0.8516,0.0825,0.6000
0.8633,0.0825,0.5500
0.8672,0.0825,0.5000
0.8711,0.0851,0.4500
0.9414,0.1495,0.4000
0.9414,0.1727,0.3500
0.9414,0.1830,0.3000
0.9414,0.2139,0.2500
0.9688,0.4691,0.2000
0.9766,0.5335,0.1500
0.9805,0.6469,0.1000
0.9961,0.7809,0.0500
Best %,Threshold
89.7516,0.5000
TP,FP,FN,TN
222,32,34,356
