Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0090,0.0000,0.7000
0.0269,0.0000,0.6500
0.0615,0.0000,0.6000
0.1038,0.0061,0.5500
0.3231,0.0275,0.5000
0.4115,0.0424,0.4500
0.5295,0.0743,0.4000
0.6500,0.1256,0.3500
0.7756,0.2137,0.3000
0.9205,0.3901,0.2500
0.9641,0.4806,0.2000
0.9846,0.6442,0.1500
0.9974,0.9164,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.0774,0.4000
TP,FP,FN,TN
413,184,367,2292
