Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0148,0.0000,0.8500
0.0431,0.0004,0.8000
0.0874,0.0008,0.7500
0.1207,0.0041,0.7000
0.1810,0.0082,0.6500
0.2463,0.0147,0.6000
0.3030,0.0204,0.5500
0.4397,0.0495,0.5000
0.5209,0.0691,0.4500
0.6034,0.0994,0.4000
0.6946,0.1387,0.3500
0.7771,0.1943,0.3000
0.8571,0.2573,0.2500
0.9224,0.3485,0.2000
0.9631,0.4446,0.1500
0.9877,0.5493,0.1000
0.9988,0.7681,0.0500
Best %,Threshold
82.8677,0.4500
TP,FP,FN,TN
423,169,389,2276
