Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0056,0.0000,0.9500
0.0113,0.0018,0.9000
0.0141,0.0053,0.8500
0.0395,0.0053,0.8000
0.1130,0.0071,0.7500
0.1610,0.0071,0.7000
0.2740,0.0071,0.6500
0.3842,0.0159,0.6000
0.4859,0.0194,0.5500
0.6864,0.0476,0.5000
0.7740,0.0776,0.4500
0.8305,0.1446,0.4000
0.8955,0.2910,0.3500
0.9407,0.4497,0.3000
0.9915,0.6702,0.2500
0.9972,0.8042,0.2000
1.0000,0.8818,0.1500
1.0000,0.9577,0.1000
1.0000,0.9859,0.0500
Best %,Threshold
86.5364,0.4500
TP,FP,FN,TN
274,44,80,523
