Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0028,0.0000,0.9000
0.0056,0.0035,0.8500
0.0395,0.0071,0.8000
0.0904,0.0071,0.7500
0.1695,0.0071,0.7000
0.2458,0.0071,0.6500
0.4040,0.0194,0.6000
0.5056,0.0229,0.5500
0.6158,0.0370,0.5000
0.7260,0.0635,0.4500
0.8192,0.1393,0.4000
0.8814,0.2698,0.3500
0.9294,0.4233,0.3000
0.9915,0.6614,0.2500
1.0000,0.9171,0.2000
1.0000,0.9665,0.1500
1.0000,0.9841,0.1000
1.0000,0.9929,0.0500
Best %,Threshold
85.5592,0.4500
TP,FP,FN,TN
257,36,97,531
