Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0113,0.0053,0.9500
0.0141,0.0053,0.9000
0.0367,0.0053,0.8500
0.0847,0.0071,0.8000
0.1497,0.0071,0.7500
0.2373,0.0071,0.7000
0.3164,0.0106,0.6500
0.4237,0.0176,0.6000
0.5198,0.0194,0.5500
0.6356,0.0388,0.5000
0.7260,0.0582,0.4500
0.7881,0.1076,0.4000
0.8503,0.1905,0.3500
0.9011,0.3369,0.3000
0.9689,0.5467,0.2500
0.9944,0.7954,0.2000
0.9972,0.8783,0.1500
1.0000,0.9577,0.1000
1.0000,0.9894,0.0500
Best %,Threshold
85.8849,0.4500
TP,FP,FN,TN
257,33,97,534
