Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0028,0.0000,0.9000
0.0028,0.0018,0.8500
0.0113,0.0071,0.8000
0.0282,0.0071,0.7500
0.0932,0.0071,0.7000
0.1893,0.0088,0.6500
0.2684,0.0106,0.6000
0.4040,0.0194,0.5500
0.7288,0.0829,0.5000
0.8136,0.1464,0.4500
0.8729,0.2804,0.4000
0.9237,0.4409,0.3500
0.9831,0.6825,0.3000
0.9972,0.8430,0.2500
0.9972,0.9153,0.2000
1.0000,0.9771,0.1500
1.0000,0.9929,0.1000
1.0000,0.9965,0.0500
Best %,Threshold
84.4734,0.5000
TP,FP,FN,TN
258,47,96,520
