Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0028,0.0000,0.9500
0.0169,0.0071,0.9000
0.0791,0.0071,0.8500
0.1921,0.0106,0.8000
0.3644,0.0194,0.7500
0.5367,0.0370,0.7000
0.6949,0.0723,0.6500
0.7994,0.1675,0.6000
0.8785,0.2963,0.5500
0.9237,0.5097,0.5000
0.9831,0.7213,0.4500
0.9972,0.8395,0.4000
0.9972,0.8818,0.3500
0.9972,0.9453,0.3000
1.0000,0.9683,0.2500
1.0000,0.9824,0.2000
1.0000,0.9877,0.1500
1.0000,0.9929,0.1000
1.0000,0.9965,0.0500
Best %,Threshold
83.8219,0.6500
TP,FP,FN,TN
246,41,108,526
