Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0056,0.0018,0.9500
0.0113,0.0053,0.9000
0.0141,0.0053,0.8500
0.0565,0.0053,0.8000
0.0932,0.0071,0.7500
0.1497,0.0071,0.7000
0.2401,0.0071,0.6500
0.3475,0.0141,0.6000
0.4379,0.0176,0.5500
0.6299,0.0388,0.5000
0.7345,0.0617,0.4500
0.8079,0.1164,0.4000
0.8588,0.2116,0.3500
0.9181,0.3915,0.3000
0.9831,0.6085,0.2500
0.9944,0.8078,0.2000
1.0000,0.9048,0.1500
1.0000,0.9700,0.1000
1.0000,0.9929,0.0500
Best %,Threshold
85.9935,0.4500
TP,FP,FN,TN
260,35,94,532
