Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0028,0.0018,0.9500
0.0028,0.0018,0.9000
0.0254,0.0018,0.8500
0.0650,0.0018,0.8000
0.1102,0.0018,0.7500
0.1441,0.0035,0.7000
0.1949,0.0071,0.6500
0.2288,0.0071,0.6000
0.2684,0.0106,0.5500
0.7853,0.2381,0.5000
0.8333,0.2698,0.4500
0.8870,0.3492,0.4000
0.9237,0.4074,0.3500
0.9463,0.4744,0.3000
0.9718,0.5608,0.2500
0.9802,0.6914,0.2000
0.9915,0.8377,0.1500
0.9972,0.9330,0.1000
1.0000,0.9735,0.0500
Best %,Threshold
77.0901,0.5000
TP,FP,FN,TN
278,135,76,432
