Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0013,0.0000,0.8000
0.0293,0.0000,0.7500
0.0759,0.0008,0.7000
0.1092,0.0012,0.6500
0.1877,0.0044,0.6000
0.2543,0.0112,0.5500
0.4394,0.0379,0.5000
0.5020,0.0567,0.4500
0.5965,0.0834,0.4000
0.6964,0.1313,0.3500
0.8056,0.2171,0.3000
0.9001,0.3085,0.2500
0.9441,0.3695,0.2000
0.9787,0.4457,0.1500
0.9973,0.6201,0.1000
1.0000,0.9501,0.0500
Best %,Threshold
84.2800,0.4000
TP,FP,FN,TN
448,209,303,2297
