Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0028,0.0000,0.9000
0.0028,0.0000,0.8500
0.0056,0.0018,0.8000
0.0113,0.0018,0.7500
0.0339,0.0071,0.7000
0.0960,0.0071,0.6500
0.2006,0.0071,0.6000
0.3475,0.0088,0.5500
0.5706,0.0265,0.5000
0.7429,0.0635,0.4500
0.8446,0.1799,0.4000
0.9266,0.4356,0.3500
0.9915,0.7566,0.3000
1.0000,0.8871,0.2500
1.0000,0.9718,0.2000
1.0000,0.9929,0.1500
1.0000,0.9965,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
86.2106,0.4500
TP,FP,FN,TN
263,36,91,531
