Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0259,0.0000,0.6500
0.0674,0.0020,0.6000
0.1206,0.0048,0.5500
0.2646,0.0161,0.5000
0.4099,0.0443,0.4500
0.4942,0.0644,0.4000
0.6485,0.1111,0.3500
0.8016,0.2165,0.3000
0.9274,0.3577,0.2500
0.9650,0.4374,0.2000
0.9922,0.6386,0.1500
0.9987,0.8825,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
83.2002,0.3500
TP,FP,FN,TN
500,276,271,2209
