Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0070,0.0044,0.7000
0.0070,0.0044,0.6500
0.1620,0.0088,0.6000
0.2606,0.0133,0.5500
0.5423,0.0664,0.5000
0.6127,0.1150,0.4500
0.8592,0.3584,0.4000
0.9507,0.6195,0.3500
1.0000,0.9646,0.3000
1.0000,0.9646,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
78.2609,0.5000
TP,FP,FN,TN
77,15,65,211
