Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0039,0.0000,0.9000
0.0078,0.0026,0.8500
0.0235,0.0026,0.8000
0.1725,0.0617,0.7500
0.1843,0.0746,0.7000
0.2118,0.0900,0.6500
0.2275,0.1028,0.6000
0.2667,0.1131,0.5500
0.7412,0.4756,0.5000
0.7608,0.5321,0.4500
0.7804,0.5784,0.4000
0.8196,0.6812,0.3500
0.8353,0.7326,0.3000
1.0000,0.9512,0.2500
1.0000,0.9640,0.2000
1.0000,0.9923,0.1500
1.0000,0.9923,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
64.1304,0.5500
TP,FP,FN,TN
68,44,187,345
