Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0025,0.9500
0.0000,0.0051,0.9000
0.0000,0.0051,0.8500
0.0640,0.0457,0.8000
0.0640,0.0482,0.7500
0.0640,0.0482,0.7000
0.0640,0.0482,0.6500
0.3560,0.3173,0.6000
0.3640,0.3223,0.5500
0.3640,0.3274,0.5000
0.3680,0.3325,0.4500
0.7680,0.7157,0.4000
0.7680,0.7208,0.3500
0.7760,0.7310,0.3000
0.7840,0.7386,0.2500
1.0000,0.9822,0.2000
1.0000,0.9848,0.1500
1.0000,0.9848,0.1000
1.0000,0.9848,0.0500
Best %,Threshold
61.1801,1.0000
TP,FP,FN,TN
0,0,250,394
