Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0043,0.9500
0.0294,0.0043,0.9000
0.0441,0.0043,0.8500
0.1176,0.0043,0.8000
0.1985,0.0043,0.7500
0.2574,0.0086,0.7000
0.3897,0.0216,0.6500
0.4779,0.0302,0.6000
0.5956,0.0431,0.5500
1.0000,0.9784,0.5000
1.0000,0.9784,0.4500
1.0000,0.9784,0.4000
1.0000,0.9784,0.3500
1.0000,0.9784,0.3000
1.0000,0.9828,0.2500
1.0000,0.9828,0.2000
1.0000,0.9828,0.1500
1.0000,0.9828,0.1000
1.0000,0.9871,0.0500
Best %,Threshold
82.3370,0.5500
TP,FP,FN,TN
81,10,55,222
