Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0076,0.0000,0.9000
0.0229,0.0042,0.8500
0.0611,0.0127,0.8000
0.1298,0.0169,0.7500
0.2443,0.0211,0.7000
0.3053,0.0253,0.6500
0.3817,0.0338,0.6000
0.5191,0.0422,0.5500
0.6336,0.0549,0.5000
0.7252,0.0717,0.4500
0.7863,0.0928,0.4000
0.8779,0.2068,0.3500
0.9237,0.3713,0.3000
0.9695,0.5654,0.2500
1.0000,0.7806,0.2000
1.0000,0.8608,0.1500
1.0000,0.9283,0.1000
1.0000,0.9662,0.0500
Best %,Threshold
86.4130,0.4000
TP,FP,FN,TN
103,22,28,215
