Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0149,0.0085,0.6500
0.1045,0.0128,0.6000
0.3582,0.0256,0.5500
0.7239,0.0726,0.5000
0.9403,0.4444,0.4500
1.0000,0.8632,0.4000
1.0000,0.9573,0.3500
1.0000,0.9829,0.3000
1.0000,0.9872,0.2500
1.0000,1.0000,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
85.3261,0.5000
TP,FP,FN,TN
97,17,37,217
