Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0581,0.0000,0.8000
0.0839,0.0000,0.7500
0.1097,0.0000,0.7000
0.1548,0.0000,0.6500
0.2452,0.0047,0.6000
0.3032,0.0094,0.5500
0.9871,0.8498,0.5000
0.9871,0.8545,0.4500
0.9871,0.8638,0.4000
0.9935,0.8732,0.3500
1.0000,0.8920,0.3000
1.0000,0.9014,0.2500
1.0000,0.9202,0.2000
1.0000,0.9531,0.1500
1.0000,0.9812,0.1000
1.0000,0.9953,0.0500
Best %,Threshold
70.1087,0.5500
TP,FP,FN,TN
47,2,108,211
