Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0044,0.9500
0.0000,0.0087,0.9000
0.0144,0.0131,0.8500
0.0144,0.0218,0.8000
0.0288,0.0218,0.7500
0.0432,0.0218,0.7000
0.0791,0.0218,0.6500
0.1079,0.0218,0.6000
0.1655,0.0262,0.5500
0.5180,0.0873,0.5000
0.6187,0.0873,0.4500
0.7554,0.1179,0.4000
0.8417,0.1528,0.3500
0.9065,0.2052,0.3000
0.9424,0.3537,0.2500
0.9712,0.5633,0.2000
1.0000,0.8908,0.1500
1.0000,0.9913,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
84.5109,0.3500
TP,FP,FN,TN
117,35,22,194
