Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.5935,0.0201,0.9500
0.6463,0.0201,0.9000
0.6504,0.0251,0.8500
0.6789,0.0251,0.8000
0.6951,0.0302,0.7500
0.7114,0.0352,0.7000
0.7317,0.0427,0.6500
0.7520,0.0503,0.6000
0.7561,0.0553,0.5500
0.7683,0.0628,0.5000
0.7683,0.0754,0.4500
0.7724,0.0754,0.4000
0.7846,0.0854,0.3500
0.7967,0.0930,0.3000
0.8008,0.0955,0.2500
0.8130,0.1055,0.2000
0.8252,0.1181,0.1500
0.8496,0.1382,0.1000
0.8821,0.1935,0.0500
Best %,Threshold
87.4224,0.6000
TP,FP,FN,TN
185,20,61,378
