Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0114,0.0000,0.8000
0.0556,0.0012,0.7500
0.0936,0.0020,0.7000
0.1631,0.0077,0.6500
0.2364,0.0178,0.6000
0.3224,0.0300,0.5500
0.4083,0.0442,0.5000
0.4968,0.0685,0.4500
0.5967,0.0945,0.4000
0.6941,0.1403,0.3500
0.8116,0.2137,0.3000
0.9064,0.3293,0.2500
0.9520,0.3974,0.2000
0.9836,0.4797,0.1500
0.9975,0.6537,0.1000
1.0000,0.9177,0.0500
Best %,Threshold
83.0519,0.4000
TP,FP,FN,TN
472,233,319,2233
