Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0038,0.0000,0.8500
0.0201,0.0004,0.8000
0.0414,0.0004,0.7500
0.0916,0.0028,0.7000
0.1343,0.0049,0.6500
0.2409,0.0130,0.6000
0.3250,0.0220,0.5500
0.4391,0.0435,0.5000
0.5358,0.0663,0.4500
0.6123,0.0952,0.4000
0.6838,0.1419,0.3500
0.7604,0.2017,0.3000
0.8595,0.2887,0.2500
0.9097,0.3514,0.2000
0.9649,0.4481,0.1500
0.9950,0.5722,0.1000
0.9987,0.8719,0.0500
Best %,Threshold
83.6302,0.4500
TP,FP,FN,TN
427,163,370,2296
