Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0239,0.0004,0.9500
0.0252,0.0004,0.9000
0.0252,0.0004,0.8500
0.0252,0.0004,0.8000
0.0252,0.0004,0.7500
0.0252,0.0004,0.7000
0.0252,0.0004,0.6500
0.0252,0.0004,0.6000
0.0252,0.0004,0.5500
0.0252,0.0004,0.5000
0.0252,0.0004,0.4500
0.0252,0.0004,0.4000
0.0252,0.0004,0.3500
0.0252,0.0004,0.3000
0.0252,0.0004,0.2500
0.0252,0.0004,0.2000
0.0252,0.0004,0.1500
0.0264,0.0004,0.1000
0.0264,0.0004,0.0500
Best %,Threshold
76.2285,0.1000
TP,FP,FN,TN
21,1,773,2461
