Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0044,0.8500
0.0070,0.0044,0.8000
0.0420,0.0089,0.7500
0.0839,0.0133,0.7000
0.1748,0.0178,0.6500
0.2587,0.0267,0.6000
0.3846,0.0311,0.5500
0.4825,0.0444,0.5000
0.6434,0.0622,0.4500
0.8182,0.0933,0.4000
0.8951,0.1867,0.3500
0.9510,0.3822,0.3000
0.9930,0.6533,0.2500
1.0000,0.8267,0.2000
1.0000,0.9422,0.1500
1.0000,0.9733,0.1000
1.0000,0.9867,0.0500
Best %,Threshold
87.2283,0.4000
TP,FP,FN,TN
117,21,26,204
