Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0064,0.0000,0.9500
0.0127,0.0000,0.9000
0.0127,0.0047,0.8500
0.0573,0.0047,0.8000
0.1083,0.0047,0.7500
0.1847,0.0047,0.7000
0.2611,0.0047,0.6500
0.3949,0.0095,0.6000
0.4841,0.0237,0.5500
0.6369,0.0379,0.5000
0.7834,0.0758,0.4500
0.8408,0.1327,0.4000
0.9045,0.2654,0.3500
0.9490,0.4787,0.3000
1.0000,0.7204,0.2500
1.0000,0.9052,0.2000
1.0000,0.9668,0.1500
1.0000,0.9953,0.1000
1.0000,0.9953,0.0500
Best %,Threshold
86.4130,0.4500
TP,FP,FN,TN
123,16,34,195
