Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.6898,0.4722,0.9500
0.8021,0.6707,0.9000
0.8583,0.7700,0.8500
0.8824,0.8305,0.8000
0.9118,0.8862,0.7500
0.9278,0.9080,0.7000
0.9572,0.9298,0.6500
0.9706,0.9467,0.6000
0.9840,0.9564,0.5500
0.9840,0.9709,0.5000
0.9866,0.9758,0.4500
0.9920,0.9927,0.4000
0.9947,0.9927,0.3500
0.9973,1.0000,0.3000
0.9973,1.0000,0.2500
0.9973,1.0000,0.2000
0.9973,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
60.4828,0.9500
TP,FP,FN,TN
258,195,116,218
