Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0197,0.0000,0.9500
0.0365,0.0000,0.9000
0.0534,0.0000,0.8500
0.0646,0.0000,0.8000
0.0787,0.0023,0.7500
0.0983,0.0093,0.7000
0.1067,0.0116,0.6500
0.1292,0.0139,0.6000
0.1489,0.0162,0.5500
0.7219,0.2877,0.5000
0.8090,0.3550,0.4500
0.8708,0.4849,0.4000
0.9157,0.6265,0.3500
0.9382,0.7657,0.3000
0.9691,0.8840,0.2500
0.9944,0.9397,0.2000
1.0000,0.9907,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
71.9187,0.4500
TP,FP,FN,TN
288,153,68,278
