Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0069,0.0045,0.9000
0.0069,0.0045,0.8500
0.0347,0.0045,0.8000
0.0625,0.0045,0.7500
0.1458,0.0089,0.7000
0.2917,0.0134,0.6500
0.3750,0.0179,0.6000
0.4653,0.0268,0.5500
0.6319,0.0357,0.5000
0.7153,0.0580,0.4500
0.8333,0.1161,0.4000
0.9167,0.2366,0.3500
0.9583,0.4286,0.3000
0.9931,0.7098,0.2500
0.9931,0.8438,0.2000
1.0000,0.9241,0.1500
1.0000,0.9688,0.1000
1.0000,0.9866,0.0500
Best %,Threshold
86.4130,0.4000
TP,FP,FN,TN
120,26,24,198
