Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0152,0.0000,0.9500
0.0227,0.0042,0.9000
0.0379,0.0042,0.8500
0.0758,0.0085,0.8000
0.1364,0.0085,0.7500
0.1742,0.0127,0.7000
0.3485,0.0169,0.6500
0.3939,0.0169,0.6000
0.5076,0.0169,0.5500
0.7273,0.0805,0.5000
0.8030,0.1271,0.4500
0.8561,0.1907,0.4000
0.8636,0.2331,0.3500
0.9242,0.3771,0.3000
0.9545,0.5551,0.2500
1.0000,0.7627,0.2000
1.0000,0.8559,0.1500
1.0000,0.9534,0.1000
1.0000,0.9873,0.0500
Best %,Threshold
85.0543,0.5000
TP,FP,FN,TN
96,19,36,217
