Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0347,0.0004,0.6500
0.0656,0.0020,0.6000
0.1401,0.0052,0.5500
0.2288,0.0141,0.5000
0.3843,0.0331,0.4500
0.4871,0.0642,0.4000
0.5951,0.1065,0.3500
0.8149,0.2179,0.3000
0.9242,0.3293,0.2500
0.9730,0.4274,0.2000
0.9936,0.5642,0.1500
1.0000,0.8228,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
82.8624,0.4000
TP,FP,FN,TN
379,159,399,2319
