Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0159,0.0000,0.6500
0.0561,0.0012,0.6000
0.1232,0.0041,0.5500
0.2293,0.0119,0.5000
0.3524,0.0341,0.4500
0.4646,0.0554,0.4000
0.5951,0.0948,0.3500
0.7207,0.1626,0.3000
0.8476,0.2681,0.2500
0.9268,0.3768,0.2000
0.9805,0.5066,0.1500
0.9976,0.7713,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
82.7088,0.3500
TP,FP,FN,TN
488,231,332,2205
