Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0008,0.0001,0.8500
0.0198,0.0002,0.8000
0.0551,0.0005,0.7500
0.0928,0.0019,0.7000
0.1570,0.0061,0.6500
0.2306,0.0125,0.6000
0.3006,0.0199,0.5500
0.5164,0.0700,0.5000
0.5949,0.0955,0.4500
0.6711,0.1267,0.4000
0.7465,0.1716,0.3500
0.8170,0.2294,0.3000
0.8908,0.3018,0.2500
0.9360,0.3750,0.2000
0.9657,0.4505,0.1500
0.9873,0.5752,0.1000
0.9995,0.8366,0.0500
Best %,Threshold
83.2320,0.5000
TP,FP,FN,TN
1986,870,1860,11565
