Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0063,0.0000,0.8500
0.0263,0.0004,0.8000
0.0665,0.0012,0.7500
0.1154,0.0049,0.7000
0.1857,0.0102,0.6500
0.2447,0.0171,0.6000
0.3137,0.0256,0.5500
0.4592,0.0549,0.5000
0.5558,0.0817,0.4500
0.6299,0.1094,0.4000
0.7077,0.1558,0.3500
0.8055,0.2098,0.3000
0.8846,0.3042,0.2500
0.9297,0.3880,0.2000
0.9724,0.4595,0.1500
0.9925,0.5791,0.1000
1.0000,0.8316,0.0500
Best %,Threshold
82.9545,0.4500
TP,FP,FN,TN
443,201,354,2258
