Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0072,0.0000,0.7500
0.0144,0.0000,0.7000
0.0432,0.0000,0.6500
0.2014,0.0000,0.6000
0.3453,0.0044,0.5500
0.5540,0.0044,0.5000
0.7194,0.0306,0.4500
0.8849,0.1354,0.4000
0.9712,0.4367,0.3500
0.9928,0.7686,0.3000
1.0000,0.9258,0.2500
1.0000,0.9782,0.2000
1.0000,0.9956,0.1500
1.0000,0.9956,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
87.5000,0.4500
TP,FP,FN,TN
100,7,39,222
