Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0000,0.0000,0.8500
0.0000,0.0000,0.8000
0.0000,0.0000,0.7500
0.0000,0.0000,0.7000
0.0000,0.0000,0.6500
0.0806,0.0205,0.6000
0.0806,0.0205,0.5500
0.3952,0.0820,0.5000
0.8710,0.4262,0.4500
0.9032,0.4877,0.4000
0.9919,0.8197,0.3500
0.9919,0.8689,0.3000
1.0000,0.9877,0.2500
1.0000,0.9959,0.2000
1.0000,1.0000,0.1500
1.0000,1.0000,0.1000
1.0000,1.0000,0.0500
Best %,Threshold
74.1848,0.5000
TP,FP,FN,TN
49,20,75,224
