Sensitivity,False Positive Rate,Threshold
0.0000,0.0000,1.0000
0.0000,0.0000,0.9500
0.0000,0.0000,0.9000
0.0065,0.0000,0.8500
0.0484,0.0000,0.8000
0.0942,0.0016,0.7500
0.1440,0.0056,0.7000
0.2343,0.0136,0.6500
0.3298,0.0237,0.6000
0.4031,0.0357,0.5500
0.4660,0.0470,0.5000
0.5340,0.0646,0.4500
0.6165,0.0879,0.4000
0.6832,0.1340,0.3500
0.7709,0.1934,0.3000
0.8639,0.2773,0.2500
0.9215,0.3535,0.2000
0.9463,0.4125,0.1500
0.9751,0.5048,0.1000
1.0000,0.7544,0.0500
Best %,Threshold
84.2752,0.4000
TP,FP,FN,TN
471,219,293,2273
